[86, [134.66, 135.28, 135.02, 134.84, 135.4, 134.85, 135.2, 135.34, 140.64, 135.31, 136.31, 135.63, 135.64, 135.5, 135.74, 136.03, 136.02, 136.36, 136.07, 135.31, 134.74, 135.23, 135.1, 135.79, 135.88, 135.28, 135.67, 135.71, 136.09, 135.08, 134.6]]
[90, [135.36, 135.31, 136.0, 136.47, 135.9, 135.62, 135.85, 135.8, 134.5, 135.02, 134.81, 135.79, 135.3, 134.87, 134.53, 134.96, 135.3, 135.56, 135.41, 136.18, 136.24, 135.28, 135.91, 135.7, 135.43, 136.23, 136.21, 135.31, 135.33, 136.3, 136.37]]
[94, [138.9, 135.27, 135.25, 136.24, 136.64, 136.63, 135.34, 135.79, 134.31, 134.61, 134.71, 134.12, 135.12, 135.26, 134.5, 134.67, 134.88, 136.92, 135.39, 135.49, 136.47, 135.52, 136.42, 135.42, 135.48, 135.58, 135.85, 136.04, 136.25, 134.97, 135.16]]
[98, [135.54, 135.46, 136.24, 134.93, 135.7, 135.65, 135.88, 135.01, 133.72, 134.39, 134.65, 135.26, 134.55, 134.61, 134.0, 135.3, 135.11, 135.22, 135.2, 136.0, 135.42, 135.56, 135.82, 136.0, 137.0, 136.59, 135.93, 136.14, 136.05, 135.32, 136.01]]
[102, [134.94, 135.16, 134.79, 135.44, 135.62, 136.18, 134.77, 134.85, 134.82, 135.13, 137.72, 134.87, 134.36, 135.24, 135.22, 135.48, 135.26, 134.8, 136.53, 134.83, 136.02, 135.46, 136.02, 135.45, 136.15, 136.23, 136.14, 135.09, 135.08, 135.89, 135.91]]
[106, [134.93, 135.59, 135.04, 135.76, 135.5, 135.39, 134.66, 134.82, 134.46, 134.86, 134.33, 134.87, 136.25, 135.28, 134.85, 135.65, 135.36, 135.02, 136.17, 135.58, 135.81, 136.0, 135.74, 135.39, 135.14, 134.72, 135.85, 135.15, 135.47, 135.33, 136.4]]
[110, [135.57, 135.95, 135.26, 136.12, 135.45, 140.18, 135.42, 134.75, 134.65, 134.33, 134.93, 135.1, 135.4, 134.29, 135.2, 136.08, 135.21, 135.18, 135.6, 134.84, 135.37, 135.84, 135.94, 135.32, 136.12, 136.16, 136.39, 135.31, 135.11, 136.22, 135.68]]
[114, [135.38, 135.92, 135.46, 135.05, 135.05, 135.18, 134.29, 135.04, 134.68, 135.17, 135.36, 135.19, 134.6, 134.19, 134.5, 135.88, 135.89, 135.68, 134.89, 135.03, 135.16, 135.51, 135.27, 135.57, 135.47, 135.84, 135.08, 134.83, 135.57, 134.95, 139.28]]
[118, [135.81, 134.46, 135.17, 135.91, 136.36, 135.02, 135.88, 134.51, 134.31, 134.57, 135.36, 135.25, 134.59, 134.27, 134.92, 136.51, 135.69, 136.08, 135.11, 134.77, 135.52, 135.29, 136.09, 135.71, 135.95, 135.11, 135.73, 134.75, 134.78, 134.46, 135.46]]
[122, [135.19, 134.79, 134.96, 136.02, 136.15, 136.12, 134.36, 134.19, 135.0, 135.06, 134.07, 135.75, 134.9, 135.47, 134.48, 135.74, 135.27, 136.03, 135.94, 136.12, 135.32, 135.16, 135.66, 134.95, 135.64, 136.34, 135.46, 135.31, 134.62, 135.04, 141.41]]
